frame,timestamp,Entrance,Waiting,Reception,Dining,Kitchen
1,0.03,0,0,0,0,2
2,0.07,0,0,0,0,2
3,0.10,0,0,0,0,2
4,0.13,0,0,0,0,2
5,0.17,0,0,0,0,1
6,0.20,0,0,0,0,1
7,0.23,0,0,0,0,1
8,0.27,0,0,0,0,2
9,0.30,0,0,0,0,2
10,0.33,0,0,0,0,1
11,0.37,0,0,0,0,1
12,0.40,0,0,0,0,1
13,0.43,0,0,0,0,1
14,0.47,0,0,0,0,1
15,0.50,0,0,0,0,1
16,0.53,0,0,0,0,1
17,0.57,0,0,0,0,1
18,0.60,0,0,0,0,1
19,0.63,0,0,0,0,1
20,0.67,0,0,0,0,1
21,0.70,0,0,0,0,0
22,0.73,0,0,0,0,1
23,0.77,0,0,0,0,0
24,0.80,0,0,0,0,1
25,0.83,0,0,0,0,1
26,0.87,0,0,0,0,1
27,0.90,0,0,0,0,1
28,0.93,0,0,0,0,1
29,0.97,0,0,0,0,1
30,1.00,0,0,0,0,1
31,1.03,0,0,0,0,1
32,1.07,0,0,0,0,1
33,1.10,0,0,0,0,1
34,1.13,0,0,0,0,1
35,1.17,0,0,0,0,1
36,1.20,0,0,0,0,1
37,1.23,0,0,0,0,1
38,1.27,0,0,0,0,1
39,1.30,0,0,0,0,2
40,1.33,0,0,0,0,2
41,1.37,0,0,0,0,2
42,1.40,0,0,0,0,2
43,1.43,0,0,0,0,2
44,1.47,0,0,0,0,2
45,1.50,0,0,0,0,2
46,1.53,0,0,0,0,2
47,1.57,0,0,0,0,1
48,1.60,0,0,0,0,1
49,1.63,0,0,0,0,1
50,1.67,0,0,0,0,1
51,1.70,0,0,0,0,2
52,1.74,0,0,0,0,2
53,1.77,0,0,0,0,3
54,1.80,0,0,0,0,2
55,1.84,0,0,0,0,2
56,1.87,0,0,0,0,3
57,1.90,0,0,0,0,3
58,1.94,0,0,0,0,3
59,1.97,0,0,0,0,3
60,2.00,0,0,0,0,2
61,2.04,0,0,0,0,2
62,2.07,0,0,0,0,3
63,2.10,0,0,0,0,4
64,2.14,0,0,0,0,3
65,2.17,0,0,0,0,4
66,2.20,0,0,0,0,4
67,2.24,0,0,0,0,4
68,2.27,0,0,0,0,4
69,2.30,0,0,0,0,4
70,2.34,0,0,0,0,3
71,2.37,0,0,0,0,3
72,2.40,0,0,0,0,3
73,2.44,0,0,0,0,3
74,2.47,0,0,0,0,3
75,2.50,0,0,0,0,4
76,2.54,0,0,0,0,4
77,2.57,0,0,0,0,5
78,2.60,0,0,0,0,6
79,2.64,0,0,0,0,6
80,2.67,0,0,0,0,5
81,2.70,0,0,0,0,5
82,2.74,0,0,0,0,5
83,2.77,0,0,0,0,5
84,2.80,0,0,0,0,5
85,2.84,0,0,0,0,5
86,2.87,0,0,0,0,5
87,2.90,0,0,0,0,6
88,2.94,0,0,0,0,6
89,2.97,0,0,0,0,6
90,3.00,0,0,0,0,6
91,3.04,0,0,0,0,6
92,3.07,0,0,0,0,6
93,3.10,0,0,0,0,6
94,3.14,0,0,0,0,6
95,3.17,0,0,0,0,6
96,3.20,0,0,0,0,5
97,3.24,0,0,0,0,4
98,3.27,0,0,0,0,7
99,3.30,0,0,0,0,7
100,3.34,0,0,0,0,8
101,3.37,0,0,0,0,8
102,3.40,0,0,0,0,7
103,3.44,0,0,0,0,7
104,3.47,0,0,0,0,7
105,3.50,0,0,0,0,7
106,3.54,0,0,0,0,7
107,3.57,0,0,0,0,7
108,3.60,0,0,0,0,6
109,3.64,0,0,0,1,5
110,3.67,0,0,0,1,5
111,3.70,0,0,0,1,4
112,3.74,0,0,0,1,4
113,3.77,0,0,0,1,4
114,3.80,0,0,0,1,4
115,3.84,0,0,0,1,4
116,3.87,0,0,0,1,4
117,3.90,0,0,0,1,4
118,3.94,0,0,0,1,4
119,3.97,0,0,0,1,4
120,4.00,0,0,0,1,2
121,4.04,0,0,0,1,3
122,4.07,0,0,0,1,3
123,4.10,0,0,0,1,3
124,4.14,0,0,0,1,3
125,4.17,0,0,0,1,3
126,4.20,0,0,0,1,4
127,4.24,0,0,0,1,4
128,4.27,0,0,0,1,4
129,4.30,0,0,0,1,4
130,4.34,0,0,0,1,5
131,4.37,0,0,0,1,5
132,4.40,0,0,0,1,3
133,4.44,0,1,0,1,3
134,4.47,0,1,0,1,3
135,4.50,0,1,0,2,2
136,4.54,0,1,0,2,2
137,4.57,0,1,0,2,3
138,4.60,0,1,0,1,3
139,4.64,0,1,0,1,3
140,4.67,0,1,0,1,3
141,4.70,0,1,0,2,3
142,4.74,0,1,0,2,3
143,4.77,0,1,0,2,3
144,4.80,0,1,0,2,3
145,4.84,0,1,0,2,4
146,4.87,0,1,0,2,4
147,4.90,0,1,0,2,4
148,4.94,0,1,0,1,4
149,4.97,0,1,0,1,4
150,5.00,0,1,0,2,4
151,5.04,0,1,0,2,4
152,5.07,0,1,0,2,4
153,5.11,0,1,0,2,4
154,5.14,0,1,0,2,5
155,5.17,0,1,0,2,5
156,5.21,0,1,0,2,5
157,5.24,0,1,0,2,5
158,5.27,0,1,0,2,5
159,5.31,0,1,0,2,5
160,5.34,0,1,0,2,5
161,5.37,0,1,0,2,4
162,5.41,0,1,0,2,4
163,5.44,0,1,0,2,4
164,5.47,0,1,0,2,3
165,5.51,0,1,0,2,3
166,5.54,0,1,0,2,3
167,5.57,0,1,0,2,3
168,5.61,0,1,0,2,3
169,5.64,0,1,0,2,3
170,5.67,0,1,0,2,3
171,5.71,0,1,0,2,3
172,5.74,0,1,0,2,3
173,5.77,0,1,0,2,3
174,5.81,0,1,0,2,3
175,5.84,0,1,0,2,3
176,5.87,0,1,0,2,3
177,5.91,0,1,0,2,3
178,5.94,0,1,0,2,3
179,5.97,0,1,0,2,3
180,6.01,0,1,0,2,3
181,6.04,0,1,0,2,3
182,6.07,0,1,0,2,3
183,6.11,0,1,0,2,3
184,6.14,0,0,0,2,3
185,6.17,0,0,0,2,3
186,6.21,0,0,0,2,3
187,6.24,0,0,0,2,2
188,6.27,0,1,0,2,2
189,6.31,0,1,0,2,2
190,6.34,0,1,0,2,3
191,6.37,0,1,0,2,2
192,6.41,0,1,0,2,3
193,6.44,0,1,0,2,3
194,6.47,0,2,0,2,3
195,6.51,0,2,0,2,3
196,6.54,0,2,0,2,3
197,6.57,0,2,0,2,4
198,6.61,0,2,0,2,4
199,6.64,0,2,0,2,4
200,6.67,0,2,0,2,4
201,6.71,0,1,0,3,4
202,6.74,0,1,0,3,4
203,6.77,0,1,0,3,4
204,6.81,0,1,0,3,4
205,6.84,0,1,0,3,5
206,6.87,0,1,0,3,5
207,6.91,0,1,0,3,5
208,6.94,0,1,0,3,6
209,6.97,0,1,0,3,6
210,7.01,0,1,0,3,5
211,7.04,0,1,0,3,6
212,7.07,0,1,0,3,5
213,7.11,0,1,0,3,5
214,7.14,0,1,0,3,6
215,7.17,0,1,0,3,6
216,7.21,0,1,0,3,7
217,7.24,0,1,0,2,6
218,7.27,0,1,0,2,6
219,7.31,0,1,0,3,6
220,7.34,0,1,0,2,5
221,7.37,0,1,0,2,5
222,7.41,0,1,0,2,5
223,7.44,0,1,0,2,6
224,7.47,0,2,0,2,6
225,7.51,0,2,0,2,6
226,7.54,0,2,0,2,5
227,7.57,0,2,0,2,6
228,7.61,0,2,0,2,6
229,7.64,0,2,0,2,5
230,7.67,0,3,0,2,5
231,7.71,0,3,0,2,5
232,7.74,0,2,0,2,5
233,7.77,0,2,0,2,5
234,7.81,0,2,0,2,5
235,7.84,0,2,0,2,6
236,7.87,0,2,0,2,6
237,7.91,0,2,0,2,6
238,7.94,0,2,0,2,6
239,7.97,0,2,0,2,6
240,8.01,0,2,0,2,6
241,8.04,0,2,0,2,4
242,8.07,0,2,0,2,5
243,8.11,0,2,0,2,5
244,8.14,0,2,0,2,5
245,8.17,0,2,0,2,5
246,8.21,0,2,0,2,5
247,8.24,0,3,0,2,4
248,8.27,0,2,0,2,4
249,8.31,0,2,0,2,4
250,8.34,0,2,0,2,5
251,8.38,0,2,0,2,5
252,8.41,0,2,0,2,5
253,8.44,0,2,0,2,4
254,8.48,0,2,0,2,4
255,8.51,0,2,0,2,4
256,8.54,0,1,0,3,3
257,8.58,0,1,0,3,4
258,8.61,0,1,0,3,4
259,8.64,0,1,0,3,4
260,8.68,0,1,0,3,4
261,8.71,0,1,0,3,4
262,8.74,0,1,0,3,4
263,8.78,0,1,0,3,4
264,8.81,0,1,0,3,4
265,8.84,0,1,0,3,4
266,8.88,0,1,0,3,4
267,8.91,0,1,0,3,4
268,8.94,0,1,0,3,4
269,8.98,0,1,0,3,4
270,9.01,0,1,0,4,4
271,9.04,0,1,0,4,4
272,9.08,0,1,0,3,4
273,9.11,0,1,0,3,4
274,9.14,0,1,0,3,4
275,9.18,0,1,0,3,4
276,9.21,0,1,0,3,4
277,9.24,0,1,0,3,4
278,9.28,0,1,0,3,4
279,9.31,0,1,0,4,4
280,9.34,0,1,0,4,4
281,9.38,0,1,0,3,5
282,9.41,0,1,0,3,5
283,9.44,0,1,0,3,4
284,9.48,0,1,0,3,3
285,9.51,0,1,0,3,3
286,9.54,0,1,0,3,3
287,9.58,0,1,0,3,6
288,9.61,0,1,0,3,6
289,9.64,0,1,0,3,6
290,9.68,0,1,0,3,4
291,9.71,0,1,0,3,4
292,9.74,0,1,0,3,4
293,9.78,0,1,0,3,4
294,9.81,0,1,0,3,3
295,9.84,0,1,0,3,3
296,9.88,0,1,0,3,4
297,9.91,0,1,0,3,5
298,9.94,0,1,0,3,5
299,9.98,0,1,0,3,5
300,10.01,0,1,0,3,5
301,10.04,0,1,0,3,4
302,10.08,0,1,0,3,3
303,10.11,0,1,0,3,3
304,10.14,0,1,0,3,3
305,10.18,0,1,0,3,4
306,10.21,0,1,0,4,5
307,10.24,0,1,0,4,5
308,10.28,0,1,0,3,6
309,10.31,0,1,0,3,6
310,10.34,0,1,0,3,6
311,10.38,0,1,0,3,4
312,10.41,0,1,0,3,5
313,10.44,0,1,0,3,5
314,10.48,0,1,0,4,5
