Track ID,Lifetime (frames),Lifetime (seconds),Recovery Count,Avg Occlusion Duration (frames)
3,100,3.34,5,3.4
4,4,0.13,1,3.0
6,2,0.07,0,0
16,68,2.27,0,0
20,29,0.97,0,0
30,370,12.35,2,5.0
28,272,9.08,7,4.9
32,115,3.84,7,5.3
53,5,0.17,1,3.0
60,267,8.91,12,14.8
70,202,6.74,5,13.4
73,3,0.1,0,0
96,12,0.4,0,0
113,166,5.54,3,8.3
137,18,0.6,0,0
150,5,0.17,0,0
164,11,0.37,0,0
166,53,1.77,0,0
172,135,4.5,5,11.2
209,40,1.33,0,0
218,8,0.27,1,2.0
236,28,0.93,2,19.0
257,65,2.17,2,13.5
267,519,17.32,9,10.7
263,6,0.2,0,0
311,84,2.8,7,14.3
313,67,2.24,2,7.5
319,7,0.23,0,0
369,15,0.5,2,11.5
371,38,1.27,0,0
376,3,0.1,0,0
394,136,4.54,4,5.2
407,16,0.53,3,2.0
417,1,0.03,0,0
421,56,1.87,1,7.0
426,1,0.03,0,0
437,220,7.34,4,19.2
441,8,0.27,0,0
427,18,0.6,2,3.5
451,3,0.1,0,0
449,3,0.1,0,0
458,20,0.67,2,3.0
471,563,18.79,8,9.8
489,1,0.03,0,0
490,7,0.23,1,6.0
485,162,5.41,7,4.1
509,50,1.67,2,6.0
524,1,0.03,0,0
517,1,0.03,0,0
530,15,0.5,1,9.0
537,373,12.45,8,5.4
559,5,0.17,0,0
560,53,1.77,0,0
588,179,5.97,4,7.0
609,3,0.1,1,22.0
615,83,2.77,7,17.0
623,1485,49.55,31,5.6
639,4,0.13,1,7.0
642,41,1.37,0,0
666,73,2.44,2,4.5
699,224,7.47,8,11.5
701,5,0.17,0,0
713,83,2.77,0,0
712,32,1.07,2,32.0
722,142,4.74,9,8.1
761,139,4.64,1,4.0
772,22,0.73,2,4.0
779,4,0.13,1,2.0
797,96,3.2,2,1.5
819,7,0.23,0,0
831,1465,48.88,6,9.7
837,2795,93.26,54,8.6
841,196,6.54,3,6.0
956,90,3.0,17,10.9
989,32,1.07,0,0
