Track ID,Entry Time,Waiting Start,Waiting End,Reception Start,Reception End,Dining Start,Dining End,Exit Time,Visit Duration,Role
3442,450.45,0.0,0.0,0.0,0.0,450.45,560.26,,143.94,Customer
3638,478.778,0.0,0.0,0.0,0.0,478.778,0.0,,115.62,Customer
3722,489.489,0.0,0.0,0.0,0.0,489.489,0.0,,104.9,Customer
3945,519.719,0.0,0.0,0.0,0.0,0.0,0.0,,74.67,Customer
4062,540.44,0.0,0.0,0.0,0.0,540.44,0.0,,53.95,Customer
4172,561.261,0.0,0.0,0.0,0.0,561.461,562.362,,33.13,Customer
4245,570.27,0.0,0.0,0.0,0.0,570.27,0.0,,24.12,Customer
4298,583.483,0.0,0.0,0.0,0.0,583.483,0.0,,10.91,Customer
4322,590.89,0.0,0.0,0.0,0.0,0.0,0.0,,3.5,Customer
4339,593.693,0.0,0.0,0.0,0.0,0.0,0.0,,0.7,Customer
4342,594.094,0.0,0.0,0.0,0.0,594.094,0.0,,0.0,Customer
6,1.502,0.0,0.0,0.0,0.0,1.502,4.605,4.605,2.0,Customer
17,2.703,0.0,0.0,0.0,0.0,2.703,4.705,4.705,0.9,Customer
1,0.2,0.0,0.0,0.0,0.0,0.2,5.506,5.506,4.2,Customer
42,5.205,0.0,0.0,0.0,0.0,5.205,6.506,6.506,0.2,Customer
9,2.002,0.0,0.0,0.0,0.0,2.002,2.903,7.407,4.3,Customer
44,6.607,0.0,0.0,0.0,0.0,6.607,8.408,8.408,0.7,Customer
66,7.808,0.0,0.0,0.0,0.0,7.808,9.209,9.209,0.3,Customer
22,3.303,0.0,0.0,0.0,0.0,3.303,9.51,9.51,5.11,Customer
24,3.303,0.0,0.0,0.0,0.0,3.303,11.411,11.411,7.01,Customer
36,4.505,0.0,0.0,0.0,0.0,7.908,11.912,11.912,6.31,Customer
78,8.909,0.0,0.0,0.0,0.0,8.909,12.513,12.513,2.5,Customer
14,2.703,0.0,0.0,0.0,0.0,2.703,13.614,13.614,9.81,Customer
50,6.707,0.0,0.0,0.0,0.0,6.707,14.014,14.014,6.21,Customer
49,6.707,0.0,0.0,0.0,0.0,9.409,14.615,14.615,6.81,Customer
123,14.014,0.0,0.0,0.0,0.0,14.014,15.515,15.515,0.4,Customer
77,9.61,0.0,0.0,0.0,0.0,9.61,15.616,15.616,4.9,Customer
93,11.612,0.0,0.0,0.0,0.0,11.612,15.716,15.716,3.0,Customer
