Frame,Timestamp,Track ID,Event,Metadata
6,0.2,1,ZoneEntered,{'zone': 'Dining'}
6,0.2,1,DiningStarted,{}
6,0.2,1,TrackCreated,"{'bbox': [np.float32(800.00946), np.float32(407.05612), np.float32(927.99255), np.float32(625.2659)]}"
6,0.2,1,RoleAssigned,{'role': 'Customer'}
12,0.4,1,TrackConfirmed,{'reason': 'Reached confirmation frame limit'}
21,0.701,1,TrackLost,{'reason': 'Lost tracking detection updates'}
27,0.901,1,TrackRecovered,{'reason': 'Track re-associated'}
45,1.502,6,ZoneEntered,{'zone': 'Dining'}
45,1.502,6,DiningStarted,{}
45,1.502,6,TrackCreated,"{'bbox': [np.float32(1066.3608), np.float32(301.36224), np.float32(1147.7509), np.float32(399.1231)]}"
45,1.502,6,RoleAssigned,{'role': 'Customer'}
48,1.602,1,TrackLost,{'reason': 'Lost tracking detection updates'}
51,1.702,6,TrackConfirmed,{'reason': 'Reached confirmation frame limit'}
57,1.902,1,TrackRecovered,{'reason': 'Track re-associated'}
60,2.002,9,ZoneEntered,{'zone': 'Dining'}
60,2.002,9,DiningStarted,{}
60,2.002,9,TrackCreated,"{'bbox': [np.float32(982.4806), np.float32(529.93823), np.float32(1180.7986), np.float32(671.521)]}"
60,2.002,9,RoleAssigned,{'role': 'Customer'}
60,2.002,1,TrackLost,{'reason': 'Lost tracking detection updates'}
63,2.102,1,TrackRecovered,{'reason': 'Track re-associated'}
66,2.202,9,TrackConfirmed,{'reason': 'Reached confirmation frame limit'}
72,2.402,1,TrackLost,{'reason': 'Lost tracking detection updates'}
78,2.603,1,TrackRecovered,{'reason': 'Track re-associated'}
81,2.703,14,ZoneEntered,{'zone': 'Dining'}
81,2.703,14,DiningStarted,{}
81,2.703,14,TrackCreated,"{'bbox': [np.float32(1009.68164), np.float32(282.14734), np.float32(1100.8698), np.float32(389.0243)]}"
81,2.703,14,RoleAssigned,{'role': 'Customer'}
81,2.703,17,ZoneEntered,{'zone': 'Dining'}
81,2.703,17,DiningStarted,{}
81,2.703,17,TrackCreated,"{'bbox': [np.float32(1049.8134), np.float32(510.61505), np.float32(1169.82), np.float32(674.00635)]}"
81,2.703,17,RoleAssigned,{'role': 'Customer'}
87,2.903,9,ZoneExited,"{'zone': 'Dining', 'dwell_seconds': 0.9}"
87,2.903,9,DiningFinished,{'dwell': 0.9}
87,2.903,14,TrackConfirmed,{'reason': 'Reached confirmation frame limit'}
87,2.903,17,TrackConfirmed,{'reason': 'Reached confirmation frame limit'}
90,3.003,9,ZoneEntered,{'zone': 'Dining'}
90,3.003,9,DiningStarted,{}
99,3.303,24,ZoneEntered,{'zone': 'Dining'}
99,3.303,24,DiningStarted,{}
99,3.303,24,TrackCreated,"{'bbox': [np.float32(963.8511), np.float32(232.79488), np.float32(1072.4587), np.float32(354.30127)]}"
99,3.303,24,RoleAssigned,{'role': 'Customer'}
99,3.303,22,ZoneEntered,{'zone': 'Dining'}
99,3.303,22,DiningStarted,{}
99,3.303,22,TrackCreated,"{'bbox': [np.float32(1116.5901), np.float32(207.18503), np.float32(1160.3959), np.float32(263.68408)]}"
99,3.303,22,RoleAssigned,{'role': 'Customer'}
102,3.403,17,TrackLost,{'reason': 'Lost tracking detection updates'}
