Track ID,Role,Status,First Frame,Last Frame,First Timestamp,Last Timestamp,Age (frames),Age (seconds),Occlusion Count,Recovery Count,Current Zone,Trajectory Length,Total Distance,Avg Speed,Max Speed,Avg Direction
3442,Customer,ACTIVE,13500,17814,450.45,594.394,1424,142.4,7,7,Dining,1424,3929.1,27.3,8261.34,5.3
3638,Customer,ACTIVE,14349,17814,478.778,594.394,1103,110.3,16,16,Dining,1103,734.9,6.36,1190.27,-8.9
3722,Customer,ACTIVE,14670,17814,489.489,594.394,1033,103.3,6,6,Dining,1033,3091.3,29.47,4493.08,7.0
3945,Customer,ACTIVE,15576,17814,519.719,594.394,746,74.6,1,1,,746,827.4,11.08,3991.47,1.9
4062,Customer,ACTIVE,16197,17814,540.44,594.394,517,51.7,10,10,Dining,517,1335.2,24.75,4164.69,-8.4
4172,Customer,ACTIVE,16821,17814,561.261,594.394,327,32.7,2,2,,327,1088.8,32.86,4712.18,1.1
4245,Customer,ACTIVE,17091,17814,570.27,594.394,241,24.1,1,1,Dining,241,174.0,7.21,348.52,16.2
4298,Customer,ACTIVE,17487,17814,583.483,594.394,110,11.0,0,0,Dining,110,161.6,14.81,3840.9,5.0
4322,Customer,ACTIVE,17709,17814,590.89,594.394,36,3.6,0,0,Kitchen,36,26.2,7.49,303.28,20.7
4339,Customer,CONFIRMED,17793,17814,593.693,594.394,8,0.8,0,0,,8,3.4,4.91,74.09,0.0
4342,Customer,TEMP_OCCLUDED,17805,17805,594.094,594.094,1,0.1,1,0,Dining,1,0.0,0.0,0.0,0.0
6,Customer,ARCHIVED,45,105,1.502,3.504,21,2.1,1,0,,21,39.0,19.46,673.63,59.0
17,Customer,ARCHIVED,81,108,2.703,3.604,9,0.9,2,1,,9,150.2,166.69,3386.58,125.3
1,Customer,ARCHIVED,6,132,0.2,4.404,34,3.4,6,5,,34,86.4,20.55,1510.68,-6.5
42,Customer,ARCHIVED,156,162,5.205,5.405,3,0.3,1,0,,3,2.9,14.48,161.58,-32.5
9,Customer,ARCHIVED,60,189,2.002,6.306,44,4.4,1,0,,44,603.5,140.22,4883.07,60.0
44,Customer,ARCHIVED,198,219,6.607,7.307,5,0.5,3,2,,5,7.6,10.79,446.78,-94.6
66,Customer,ARCHIVED,234,243,7.808,8.108,4,0.4,1,0,,4,3.8,12.64,150.38,7.1
22,Customer,ARCHIVED,99,252,3.303,8.408,49,4.9,3,2,,49,49.7,9.73,1010.28,1.9
24,Customer,ARCHIVED,99,309,3.303,10.31,64,6.4,3,2,,64,65.0,9.28,889.89,-27.4
36,Customer,ARCHIVED,135,324,4.505,10.811,62,6.2,2,1,,62,975.1,154.62,5580.23,13.7
78,Customer,ARCHIVED,267,342,8.909,11.411,21,2.1,3,2,,21,144.3,57.68,4558.54,56.8
14,Customer,ARCHIVED,81,375,2.703,12.513,88,8.8,6,5,,88,132.2,13.48,879.98,14.4
50,Customer,ARCHIVED,201,387,6.707,12.913,46,4.6,7,6,,46,385.5,62.11,6771.36,2.9
49,Customer,ARCHIVED,201,405,6.707,13.514,69,6.9,1,0,,69,1190.6,174.92,7040.31,12.9
123,Customer,ARCHIVED,420,432,14.014,14.414,3,0.3,2,1,,3,86.2,215.24,4842.77,-82.3
