Track ID,Zone,Entry Timestamp,Exit Timestamp,Dwell Duration (seconds)
3442,Dining,450.45,560.26,109.81
3442,Dining,562.262,,
3638,Dining,478.778,,
3722,Dining,489.489,,
3945,Kitchen,519.719,523.523,3.8
4062,Dining,540.44,,
4172,Dining,561.461,562.362,0.9
4172,Dining,592.292,592.492,0.2
4245,Dining,570.27,,
4298,Dining,583.483,,
4322,Kitchen,590.89,,
4342,Dining,594.094,,
6,Dining,1.502,4.605,3.1
17,Dining,2.703,4.705,2.0
1,Dining,0.2,5.506,5.31
42,Dining,5.205,6.506,1.3
9,Dining,2.002,2.903,0.9
9,Dining,3.003,4.805,1.8
9,Dining,5.005,7.407,2.4
44,Dining,6.607,8.408,1.8
66,Dining,7.808,9.209,1.4
22,Dining,3.303,9.51,6.21
24,Dining,3.303,11.411,8.11
36,Kitchen,4.505,6.006,1.5
36,Dining,7.908,11.912,4.0
78,Dining,8.909,12.513,3.6
14,Dining,2.703,13.614,10.91
50,Dining,6.707,14.014,7.31
49,Kitchen,6.707,7.808,1.1
49,Dining,9.409,14.615,5.21
123,Dining,14.014,15.515,1.5
77,Dining,9.61,15.616,6.01
93,Dining,11.612,15.716,4.1
131,Dining,14.815,16.617,1.8
90,Dining,11.011,17.117,6.11
127,Dining,14.414,17.417,3.0
162,Dining,18.018,20.32,2.3
117,Dining,13.914,21.321,7.41
173,Dining,22.523,23.624,1.1
156,Dining,17.217,24.524,7.31
130,Dining,14.615,25.626,11.01
176,Dining,23.624,27.127,3.5
118,Dining,13.914,29.129,15.22
33,Dining,4.505,6.306,1.8
33,Kitchen,7.708,7.808,0.1
33,Kitchen,8.408,29.329,20.92
178,Kitchen,24.625,30.33,5.71
188,Dining,26.126,31.632,5.51
209,Dining,35.836,37.738,1.9
210,Dining,37.237,38.939,1.7
212,Kitchen,38.438,40.941,2.5
224,Kitchen,41.441,41.541,0.1
224,Entrance,41.541,42.743,1.2
231,Dining,42.643,44.645,2.0
243,Kitchen,45.045,45.145,0.1
243,Kitchen,45.445,46.747,1.3
243,Entrance,45.145,45.445,0.3
265,Dining,52.553,57.257,4.7
281,Dining,59.359,60.661,1.3
297,Dining,60.861,63.463,2.6
299,Dining,61.461,64.264,2.8
313,Dining,64.665,67.167,2.5
324,Dining,66.767,67.868,1.1
311,Dining,64.665,68.068,3.4
301,Dining,67.768,69.069,1.3
331,Dining,68.869,70.47,1.6
259,Dining,51.451,72.973,21.52
321,Dining,65.966,73.774,7.81
275,Dining,55.856,75.676,19.82
360,Dining,74.374,76.076,1.7
362,Dining,76.376,78.178,1.8
384,Dining,78.378,79.479,1.1
392,Dining,78.879,79.98,1.1
352,Dining,72.372,81.081,8.71
396,Dining,80.48,81.582,1.1
391,Dining,79.98,83.584,3.6
387,Dining,78.579,84.484,5.91
403,Dining,82.683,84.484,1.8
412,Dining,86.186,88.488,2.3
421,Dining,94.394,96.196,1.8
419,Dining,94.294,97.597,3.3
427,Kitchen,96.697,97.798,1.1
417,Dining,96.997,98.498,1.5
457,Dining,101.802,103.303,1.5
458,Dining,102.603,106.006,3.4
434,Dining,98.599,106.306,7.71
466,Dining,106.406,108.308,1.9
473,Dining,107.908,109.609,1.7
474,Dining,108.108,110.41,2.3
479,Dining,108.809,110.711,1.9
497,Dining,110.711,112.312,1.6
487,Dining,110.41,113.013,2.6
514,Dining,114.214,116.116,1.9
505,Dining,112.212,118.218,6.01
547,Dining,117.517,118.618,1.1
544,Dining,117.417,118.719,1.3
549,Dining,118.018,119.72,1.7
535,Dining,116.917,119.72,2.8
480,Dining,108.809,121.922,13.11
545,Dining,119.92,122.823,2.9
556,Dining,119.019,124.424,5.41
581,Dining,123.323,124.424,1.1
572,Dining,122.122,124.624,2.5
595,Dining,124.424,125.826,1.4
600,Dining,125.025,126.226,1.2
546,Dining,117.618,128.929,11.31
610,Dining,125.926,129.73,3.8
574,Dining,123.924,129.93,6.01
617,Dining,127.027,131.531,4.5
633,Dining,130.43,131.932,1.5
594,Dining,124.324,132.132,7.81
638,Dining,132.132,133.834,1.7
642,Dining,132.833,134.234,1.4
621,Dining,127.828,128.528,0.7
621,Dining,128.929,135.836,6.91
674,Dining,136.937,138.138,1.2
661,Dining,136.136,138.338,2.2
689,Dining,138.538,140.04,1.5
616,Kitchen,127.027,140.641,13.61
696,Dining,140.54,142.142,1.6
729,Dining,142.042,143.443,1.4
720,Dining,141.241,143.744,2.5
669,Dining,136.436,144.144,7.71
668,Dining,136.436,145.445,9.01
753,Dining,145.946,147.247,1.3
709,Dining,140.54,147.948,7.41
745,Dining,147.748,148.949,1.2
742,Dining,143.443,150.55,7.11
762,Dining,148.849,150.751,1.9
765,Dining,148.849,150.751,1.9
785,Dining,152.252,153.854,1.6
636,Dining,131.131,154.755,23.62
645,Dining,133.333,134.134,0.8
645,Kitchen,158.859,160.16,1.3
824,Entrance,158.458,160.761,2.3
794,Dining,153.654,154.154,0.5
840,Dining,161.762,163.563,1.8
829,Kitchen,161.962,164.765,2.8
845,Dining,162.863,164.865,2.0
860,Kitchen,164.865,167.067,2.2
835,Dining,160.56,168.468,7.91
871,Kitchen,166.066,168.568,2.5
867,Dining,166.366,168.969,2.6
884,Kitchen,167.968,169.469,1.5
870,Dining,166.066,169.77,3.7
885,Dining,168.869,169.97,1.1
763,Dining,147.948,157.257,9.31
763,Dining,158.058,160.16,2.1
763,Dining,160.56,170.47,9.91
886,Kitchen,168.568,168.668,0.1
886,Dining,169.669,171.371,1.7
787,Dining,152.853,171.571,18.72
898,Dining,170.17,171.772,1.6
903,Dining,170.771,172.472,1.7
916,Dining,172.472,174.474,2.0
908,Dining,171.571,176.376,4.8
948,Dining,175.876,177.377,1.5
918,Dining,172.673,177.678,5.0
956,Dining,176.977,178.178,1.2
951,Dining,176.176,178.679,2.5
915,Dining,172.873,178.979,6.11
962,Dining,177.277,179.079,1.8
943,Dining,175.475,179.179,3.7
888,Kitchen,169.569,171.271,1.7
888,Dining,174.174,179.379,5.21
972,Dining,178.879,180.08,1.2
960,Dining,177.377,181.581,4.2
905,Dining,170.971,181.882,10.91
1008,Dining,181.081,182.683,1.6
1003,Dining,180.881,183.583,2.7
1023,Dining,184.384,185.585,1.2
1030,Dining,185.786,186.887,1.1
1033,Dining,186.386,187.487,1.1
1031,Dining,186.286,187.988,1.7
1028,Dining,185.385,190.791,5.41
1001,Dining,180.38,200.2,19.82
1054,Dining,197.697,200.6,2.9
1043,Kitchen,194.995,195.696,0.7
982,Dining,178.578,206.606,28.03
1009,Dining,181.181,207.708,26.53
955,Kitchen,176.777,203.303,26.53
955,Dining,204.704,207.808,3.1
981,Kitchen,178.578,180.18,1.6
981,Kitchen,203.703,203.804,0.1
981,Dining,206.707,208.909,2.2
1101,Dining,207.808,209.309,1.5
1138,Dining,212.412,213.513,1.1
1149,Dining,212.913,214.614,1.7
1155,Dining,214.014,215.315,1.3
1165,Dining,214.915,216.016,1.1
1104,Dining,208.608,217.017,8.41
1013,Dining,181.681,183.583,1.9
1013,Dining,183.884,187.187,3.3
1013,Dining,187.387,213.413,26.03
1013,Dining,213.814,217.417,3.6
1159,Dining,214.314,220.02,5.71
1187,Dining,220.62,221.822,1.2
1202,Dining,223.724,226.326,2.6
1122,Dining,212.312,226.927,14.61
1204,Dining,224.925,227.127,2.2
1210,Dining,228.328,230.13,1.8
1213,Dining,229.029,230.23,1.2
1221,Dining,230.33,232.833,2.5
1225,Dining,231.531,233.834,2.3
1235,Dining,233.033,234.334,1.3
1238,Dining,233.333,235.035,1.7
1130,Dining,211.611,237.137,25.53
1226,Dining,231.832,238.438,6.61
1250,Dining,236.636,239.639,3.0
1107,Dining,209.209,240.14,30.93
1265,Dining,238.939,240.24,1.3
1285,Dining,240.74,243.443,2.7
1269,Dining,239.739,244.044,4.3
1318,Dining,243.043,246.046,3.0
1070,Kitchen,242.943,244.544,1.6
1070,Entrance,244.544,246.046,1.5
1253,Dining,237.938,246.847,8.91
1316,Dining,243.043,247.547,4.5
1044,Kitchen,195.495,209.509,14.01
1044,Kitchen,214.314,223.123,8.81
1044,Kitchen,223.223,223.824,0.6
